"TOK_added","DATE_added","SHOT_added","TIME_added","α0","αI","αB","αP","αn","αM","αR","αe","αk","ind_added","id"
"JETILW",20161103,92347,55.5,0.105692,0.771582,0.237968,-0.608926,0.382976,0.184328,1.99155,0.712867,0.431758,10597,3450
"AUGW",20121023,28729,2.65,0.105644,0.772525,0.237209,-0.609049,0.382826,0.184156,1.99156,0.712074,0.429861,3477,1119
"AUGW",20171026,34946,3.45,0.105632,0.772612,0.237534,-0.609299,0.382866,0.183783,1.99156,0.71213,0.431037,3877,1500
"AUGW",20171026,34945,4.5,0.105632,0.772546,0.23758,-0.609274,0.382848,0.183805,1.99158,0.712213,0.4311,3873,1496
"AUGW",20091001,25281,2.75,0.105663,0.771754,0.237417,-0.608526,0.382582,0.184376,1.9916,0.712286,0.430637,3136,816
"JET",20010320,54142,68.4019775390625,0.105683,0.770308,0.241661,-0.609018,0.381968,0.175333,1.9916,0.718595,0.436743,9200,2148
"AUG",19990422,12032,2.2,0.105691,0.770491,0.239491,-0.608498,0.382106,0.184868,1.99162,0.714435,0.43389,2012,285
"AUGW",20171026,34946,6.9,0.105623,0.772858,0.237707,-0.60972,0.382703,0.183669,1.99162,0.712313,0.43158,3881,1504
"JET",19980116,44026,61.63,0.105718,0.770561,0.238365,-0.608281,0.382501,0.184751,1.99163,0.713636,0.432174,8383,1555
"AUGW",20090515,24445,3.25,0.105663,0.771722,0.237419,-0.608509,0.382609,0.184377,1.99164,0.712325,0.430611,3109,793
"AUGW",20090617,24637,3.25,0.105663,0.771725,0.237375,-0.608479,0.382635,0.184375,1.99164,0.712277,0.430531,3117,800
"JETILW",20160412,90549,49.25,0.105694,0.770811,0.23913,-0.608443,0.382806,0.183897,1.99164,0.714526,0.432244,10313,3166
"AUG",20020312,15489,3.4,0.105616,0.773238,0.237084,-0.609451,0.383592,0.183463,1.99165,0.711875,0.429377,2366,483
"AUGW",20171026,34945,4,0.105632,0.772505,0.237596,-0.609278,0.38288,0.18381,1.99165,0.712296,0.431118,3872,1495
"AUGW",20171026,34946,5,0.105624,0.772779,0.237733,-0.609674,0.382708,0.183703,1.99165,0.712384,0.431595,3879,1502
"JET",20010110,53004,63.392578125,0.105695,0.771825,0.23763,-0.608895,0.383161,0.184354,1.99165,0.71272,0.430821,9147,2095
"AUG",19990429,12092,3,0.105692,0.770615,0.239244,-0.608499,0.38228,0.184916,1.99167,0.71423,0.433435,2036,300
"AUG",19990429,12095,2.25,0.105692,0.770629,0.239211,-0.608493,0.382297,0.184909,1.99167,0.714159,0.433437,2038,302
"JET",19980120,44103,67.87,0.105697,0.771298,0.238275,-0.608447,0.383182,0.18405,1.99167,0.713514,0.431054,8427,1588
"AUG",20000128,13171,3.625,0.105672,0.771466,0.237767,-0.608457,0.382538,0.184422,1.99168,0.712874,0.430937,2172,378
"JET",20010320,54146,66.3871459960938,0.105702,0.770391,0.240317,-0.60844,0.382509,0.178188,1.99168,0.716674,0.434564,9203,2151
"JET",19980120,44100,71.62,0.105693,0.771334,0.238289,-0.608478,0.383279,0.183972,1.99169,0.713586,0.430934,8423,1584
"JET",20000613,50523,69.8673095703125,0.105714,0.770748,0.238808,-0.60821,0.382774,0.184117,1.99169,0.714233,0.431813,9031,1982
"AUG",19990506,12181,2.73,0.105649,0.771835,0.237894,-0.608715,0.382926,0.183995,1.9917,0.712928,0.430769,2064,321
"JET",20001025,52290,65.13134765625,0.105708,0.770337,0.239336,-0.608278,0.382468,0.184119,1.9917,0.714994,0.432737,9071,2021
"JETILW",20160728,91245,56,0.105681,0.771449,0.238254,-0.609003,0.383207,0.185122,1.9917,0.713275,0.431677,10365,3218
"AUG",19990429,12094,1.95,0.10569,0.770637,0.239184,-0.608513,0.382314,0.184879,1.99172,0.71419,0.433394,2037,301
"AUGW",20171026,34942,6.9,0.105635,0.772417,0.237632,-0.609194,0.382907,0.183911,1.99172,0.712657,0.430564,3863,1486
"AUG",19990429,12095,3.75,0.105691,0.7706,0.23922,-0.608491,0.382322,0.184905,1.99174,0.714283,0.433341,2039,303
"AUGW",20171026,34945,3.45,0.105633,0.772461,0.237599,-0.609278,0.382931,0.183815,1.99174,0.712378,0.431111,3871,1494
"AUGW",20121023,28725,6.1,0.105646,0.77232,0.237319,-0.609002,0.382891,0.184186,1.99175,0.712354,0.430046,3462,1104
"JET",19980120,44100,68.4,0.105693,0.771299,0.238274,-0.608459,0.38334,0.183958,1.99175,0.713621,0.430901,8422,1583
"AUGW",20080408,23006,1.85,0.105666,0.771564,0.237538,-0.608469,0.38265,0.18438,1.99178,0.712683,0.430619,3071,757
"JET",20020522,55946,61.3639831542969,0.105717,0.770831,0.238382,-0.608425,0.382711,0.184495,1.99178,0.713761,0.431926,9252,2195
"JETILW",20140828,87417,53,0.1057,0.771286,0.238039,-0.608706,0.383051,0.184353,1.99178,0.713198,0.431682,10138,2991
"AUG",20000128,13171,3.3,0.105671,0.771448,0.237784,-0.608507,0.382581,0.184418,1.99179,0.712974,0.430993,2171,377
"JET",19990427,48277,63.1353607177734,0.105708,0.770682,0.238851,-0.608432,0.382709,0.184263,1.99179,0.714331,0.432288,8865,1845
"JETILW",20140828,87418,58.5,0.105699,0.771292,0.238038,-0.608714,0.383063,0.184343,1.99179,0.713214,0.431655,10139,2992
"AUGW",20081023,23907,3.25,0.105666,0.771568,0.237444,-0.608427,0.382748,0.184369,1.99181,0.712524,0.430565,3098,782
"AUG",20020312,15496,4.95,0.105637,0.772438,0.236927,-0.608794,0.383606,0.183966,1.99183,0.711806,0.429559,2368,485
"JET",20040225,63227,65.3797607421875,0.105673,0.771281,0.238138,-0.608585,0.383509,0.186869,1.99183,0.713258,0.430206,9736,2590
"AUG",20020312,15489,5.4,0.105625,0.772742,0.237119,-0.609043,0.383714,0.18357,1.99184,0.712183,0.429215,2367,484
"JET",20040225,63236,66.6217651367188,0.10567,0.771307,0.23827,-0.60873,0.383325,0.186833,1.99184,0.713405,0.430568,9747,2601
"JETILW",20160812,91437,50.95,0.105667,0.770671,0.239228,-0.608953,0.38289,0.189051,1.99185,0.71441,0.431714,10445,3298
"AUGW",20171026,34942,6.25,0.105637,0.77227,0.237692,-0.609155,0.38295,0.183951,1.99186,0.712844,0.43066,3862,1485
